"ITL221NM","No_sites","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Bedfordshire and Hertfordshire",1193,1280366856.7681553,4792982062.236692,12646.321544729388,24192346.697064653,80543333.72016667
"Berkshire, Buckinghamshire and Oxfordshire",2505,4913039519.936216,21892715318.219124,45126.24772616529,77268461.017982,4327339150.901333
"Cheshire",790,1097281048.986328,12252722834.24523,25653.852805427345,7404530.800270815,44538665.858341664
"Cornwall and Isles of Scilly",695,621709795.0187892,3159597635.8876753,5423.219445227283,42190214.86814084,37482498.33641667
"Cumbria",484,243453818.7534771,814347811.752016,2982.699364090805,1217051.187543705,729999.9993333333
"Derbyshire and Nottinghamshire",1074,1069527159.3008695,5655240732.770035,13790.002043100021,9878502.23855452,414979158.9455
"Devon",1077,689854642.9852554,4208213335.245888,7544.10264350614,16989483.841310762,57799164.74575
"Dorset and Somerset",1082,1100131787.8495214,6216088285.947429,10878.86256331785,12705356.211067576,1226666.709
"East Anglia",2625,2710040212.3071795,8663729418.477165,21750.396158792133,96744519.74681102,436544997.90958333
"East Wales",825,793491700.8179848,4135465363.8032517,10840.708238267911,5683659.063043395,60012499.1985
"East Yorkshire and Northern Lincolnshire",548,1092657386.5532613,6041477802.729823,15298.152725489235,41150402.33879945,62447999.7675
"Eastern Scotland",1939,1461960996.4090884,23972090673.313114,16731.0085674055,84343075.98755564,918524165.5578333
"Essex",978,612396354.3851944,4404980622.073705,7553.141167410635,12608059.252120111,291415004.4086667
"Gloucestershire, Wiltshire and Bath/Bristol area",2440,5288270448.343787,54893997786.3119,52749.14334355659,37872622.48591047,3537614726.3454165
"Greater Manchester",1603,2262205094.5703897,8746081865.863647,20469.830021848553,6613817.617143607,319895000.31766665
"Hampshire and Isle of Wight",1149,1520615989.5120766,7716483056.609195,18138.71031273461,23874855.628080398,54605000.379
"Herefordshire, Worcestershire and Warwickshire",1032,929047620.4545114,6144610062.056777,12701.845307829408,35723640.47261311,40680000.16175
"Highlands and Islands",422,174351107.23157084,2775745996.412047,4051.859861375281,21304250.88310255,17242000.202800002
"Inner London - East",2178,1880421265.7729344,16802324442.384779,37747.018905402445,34657667.85979664,705689164.1260834
"Inner London - West",5274,5706188027.169026,104836165816.0358,90051.59181133911,98581006.6000902,6713221688.128925
"Kent",1204,1021165059.4970565,2928447423.263981,8785.255279250607,4524082.119815113,197124999.9995
"Lancashire",815,714471051.0158637,2371473577.674396,7277.307136283864,9725386.69476092,40809999.802999996
"Leicestershire, Rutland and Northamptonshire",1710,1315655536.063599,4879846895.208476,12679.157325175624,22665781.375689004,48039999.814
"Lincolnshire",428,602730916.04177,1727007211.9689882,5371.784789918806,4336592.611171709,5714999.9665
"Merseyside",825,904195668.743418,3218166377.553474,9849.539266915746,5127142.617106833,12426999.693675
"North Eastern Scotland",576,1644989511.076038,8441456922.53904,44451.455484923,77369457.26942968,300677497.0593333
"North Yorkshire",756,758651011.2194732,13420417965.23417,5513.791050980481,46335422.60234323,32353333.537666667
"Northern Ireland",1261,1263729878.6270888,6430264023.858879,12596.158710788974,12890311.180769231,761764975.5326667
"Northumberland, and Tyne and Wear",1284,1861807127.8249996,8870414486.365091,17420.722726460546,114808589.85225618,452449152.67475
"Outer London - East and North East",718,393811498.9895126,2457459185.393326,4442.24432038426,5417444.131779477,13977500.43825
"Outer London - South",429,369834501.91657007,3703943988.8894844,7559.086767034761,1736807.4923340732,23279999.9195
"Outer London - West and North West",930,1347745060.7764122,4183507127.118491,9810.449049096947,2313945.072135478,13806666.685333334
"Shropshire and Staffordshire",1118,730664118.515614,2978613788.2726774,9459.282946911433,19129443.40467425,72857001.8168
"South Yorkshire",696,652057681.9210821,2776593049.1227636,8219.52659365609,14117133.901759613,673996657.5066667
"Southern Scotland",777,412281328.26343334,2122546081.0584974,4677.4011173050185,11584994.234090177,34043333.37133333
"Surrey, East and West Sussex",1992,2015407133.6106226,10308742687.360235,29324.783423384604,29802760.372335248,550005831.3615416
"Tees Valley and Durham",791,845344930.8097231,4788023204.537332,6943.565833453515,5604436.66108366,61495000.126
"West Central Scotland",1358,706385481.7523496,16354259670.74404,8806.510206475476,56679163.26999538,367123329.2309166
"West Midlands",1120,861424639.2562854,8003358553.064612,11074.383781222497,198624989.46199158,77521666.1395
"West Wales and The Valleys",1162,636832332.8504372,3429378271.8242984,9486.724464179568,82471829.60785756,84501666.73099999
"West Yorkshire",1225,1051073543.2535951,14113438648.547466,19192.03016918265,3907592.519620126,513821667.37883335
NA,244,149073748.54066917,1964890970.025,2490.125,449510.75,67686665.86666666
