"ITL221NM","No_Companies","GVAPerJob"
"Bedfordshire and Hertfordshire",688,92469.60685544985
"Berkshire, Buckinghamshire and Oxfordshire",1283,96078.7827389037
"Cheshire",479,61577.323377779736
"Cornwall and Isles of Scilly",403,113061.44620588064
"Cumbria",198,84579.71841350872
"Derbyshire and Nottinghamshire",660,79267.39947183829
"Devon",587,84603.37761498951
"Dorset and Somerset",637,88033.12220312448
"East Anglia",1376,113552.71404215335
"East Wales",455,68726.49486246087
"East Yorkshire and Northern Lincolnshire",309,66218.40529723109
"Eastern Scotland",996,45911.31424855113
"Essex",656,87695.44486077102
"Gloucestershire, Wiltshire and Bath/Bristol area",1221,106692.88878481371
"Greater Manchester",918,88465.97787646357
"Hampshire and Isle of Wight",739,83980.6599715083
"Herefordshire, Worcestershire and Warwickshire",628,89273.05821250779
"Highlands and Islands",194,33119.78748264041
"Inner London - East",1117,77430.4398667582
"Inner London - West",2360,87730.90715370109
"Kent",647,107570.19851647873
"Lancashire",516,99598.82036874713
"Leicestershire, Rutland and Northamptonshire",818,102202.69964659706
"Lincolnshire",246,131143.67772778985
"Merseyside",456,88294.21096889496
"North Eastern Scotland",312,38980.051869575975
"North Yorkshire",409,130142.97178614743
"Northern Ireland",670,72631.99192934258
"Northumberland, and Tyne and Wear",734,99995.6436576673
"Outer London - East and North East",454,90329.22354423712
"Outer London - South",283,71769.18881860214
"Outer London - West and North West",526,106417.3468680401
"Shropshire and Staffordshire",586,98222.05325086488
"South Yorkshire",462,85804.45989842746
"Southern Scotland",392,78434.7129078221
"Surrey, East and West Sussex",1198,84676.02744927636
"Tees Valley and Durham",428,105104.42307272217
"West Central Scotland",611,79502.24796295851
"West Midlands",719,90628.73090454006
"West Wales and The Valleys",593,78723.52540566053
"West Yorkshire",736,60906.93882359455
NA,45,145078.2127803624
