"ITL221NM","No_Companies","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Bedfordshire and Hertfordshire",650,1231928674.11379,5068733601,14630,14476719,83390000.81500001
"Berkshire, Buckinghamshire and Oxfordshire",1306,8391538903.74326,35056973539,72499,84172258,4098159975.8129997
"Cheshire",383,1253714507.21825,14980161201,24707,13196666,47589999.037999995
"Cornwall and Isles of Scilly",182,119428918.66546,180580574,1679,2005434,71369996.664
"Cumbria",438,337274647.05786,1100970879,5067,5803311,3569999.994
"Derbyshire and Nottinghamshire",505,708212063.3801,3367193117,7987,6066927,401579992.01600003
"Devon",391,288794552.31771,770495316,3420,16919938,43099999.474
"Dorset and Somerset",1266,1085122865.87129,8537641737,15342,12709079,9560000.42
"East Anglia",785,2042616902.84865,5060876480,15256,43440727,407769998.09800005
"East Wales",350,320870625.63798,1927286711,4933,5957182,58379999.198
"East Yorkshire and Northern Lincolnshire",259,1271349903.11138,9696106525,18813,3000843,55589999.609
"Eastern Scotland",723,1358528380.6046,26887063616,21488,19923079,1581709998.902
"Essex",516,341070582.87457,1163892089,4295,12983292,282970004.286
"Gloucestershire, Wiltshire and Bath/Bristol area",1064,7596387019.60233,56830956294,60992,72342096,3564989892.505
"Greater Manchester",680,2018979068.64927,9252015545,16574,3177215,123930000.30499999
"Hampshire and Isle of Wight",456,616860505.38942,3371691902,7088,13861077,65490000.131000005
"Herefordshire, Worcestershire and Warwickshire",439,787644335.82689,3957280839,8770,24259126,36010000.088
"Highlands and Islands",682,250420561.8221,2578872122,5338,38988778,29820000.346
"Inner London - East",1320,5559020039.31103,32129758455,87052,39571574,685369998.437
"Inner London - West",3034,5205219622.27719,82310288279,71929,105954968,6633080026.401999
"Kent",421,291422235.3419,869769199,3473,1983795,86029999.971
"Lancashire",425,562713034.97163,2703358500,7095,8331878,39719999.849
"Leicestershire, Rutland and Northamptonshire",791,501560264.29592997,2474271336,7392,10318364,3960000.009
"Lincolnshire",167,170867926.17594,398664474,2455,4174381,5889999.971
"Merseyside",268,498483663.76365995,953614567,3731,4714696,7429999.812
"North Eastern Scotland",241,1477838967.09846,6846310203,47690,36772986,412599996.341
"North Yorkshire",1715,4447733820.84898,97645135033,27397,58607510,167150002.889
"Northern Ireland",480,1304826324.6323,6029937911,9349,9622662,742579975.201
"Northumberland, and Tyne and Wear",412,2111964273.9765,9849194338,19304,427961463,455919985.698
"Outer London - East and North East",362,186261812.65474,1249909954,2325,829498,15570000.529000001
"Outer London - South",272,421521208.8487,1183547034,9183,2026879,27139999.934
"Outer London - West and North West",492,1261521014.1773,2091694948,9053,2275436,16270000.019000001
"Shropshire and Staffordshire",433,1092054329.40304,4992091847,11856,50563727,125640003.62
"South Yorkshire",326,613518646.77279,2729849637,10023,13753390,525499990.056
"Southern Scotland",221,156996051.84564,585422572,2165,3129455,31750000
"Surrey, East and West Sussex",908,1937293983.92805,5261713260,25379,52149974,648209998.4530001
"Tees Valley and Durham",256,510855127.20947,4246174725,4590,4192939,48060000.603
"West Central Scotland",435,581888124.90056,1906202142,7562,28338069,188719998.227
"West Midlands",462,564331432.74294,4463167939,8047,194805901,63879998.456
"West Wales and The Valleys",378,431600703.53869003,2083630850,5112,1665606,96320000.697
"West Yorkshire",467,692842156.96356,4718958554,10730,368862,679219999.9990001
NA,532,248046499.09867,63562004952,30342,1614656,10170000.254999999
