"LAD23NM","No_Companies","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Aberdeen City",179,1441002358.43181,6773351274,46971,36606384,412329996.33000004
"Aberdeenshire",62,36836608.66665,72958929,719,166602,270000.011
"Adur",34,219537418.17895,699633171,4623,23173252,180000.005
"Amber Valley",16,2277240.03538,3500243,38,0,0
"Angus",19,6201726.54512,71274515,481,0,9000000
"Antrim and Newtownabbey",26,23682192.45874,71539629,367,48794,0
"Ards and North Down",25,6605226.53379,37532570,125,311194,0
"Argyll and Bute",28,3681647.0188900004,10870855,66,0,0
"Armagh City, Banbridge and Craigavon",31,28722850.29976,95617190,432,0,0
"Arun",37,10139144.51134,33755467,181,0,0
"Ashfield",14,8257860.9139,93452422,145,0,0
"Ashford",46,13141573.16028,107119065,237,79816,0
"Babergh",24,14427899.28779,25299169,175,296947,0
"Barking and Dagenham",19,3564468.39562,6943673,39,0,0
"Barnet",129,46650299.68218,166179534,555,506998,1569999.9930000002
"Barnsley",41,47611772.23344,305376095,756,0,0
"Basildon",66,19987762.76034,53631078,304,2940190,50189998.629999995
"Basingstoke and Deane",46,29937564.992540002,117574638,480,263336,12610000.014
"Bassetlaw",29,8415022.7195,8590520,116,107213,0
"Bath and North East Somerset",55,1390870284.94204,2133373234,9890,1622049,180000.00699999998
"Bedford",76,51917624.35671,135820927,592,322910,18900000.095
"Belfast",174,991173409.41125,4401375079,5686,8719394,731669975.175
"Bexley",50,44454798.84795,50322808,403,0,0
"Birmingham",175,126665721.79416,2105646404,1713,191435165,55849998.470000006
"Blaby",20,6933630.91524,13507934,109,0,0
"Blackburn with Darwen",39,23494929.3856,403520630,873,5000,20000
"Blackpool",19,20449760.49507,115349298,284,0,10399999.62
"Blaenau Gwent",7,5952592.0788,4185865,79,0,0
"Bolsover",11,4556574.77394,13741666,83,191337,0
"Bolton",59,27234216.51536,62252174,384,0,0
"Boston",8,12220316.88961,26179371,149,0,0
"Bournemouth, Christchurch and Poole",97,50240941.01817,105920834,738,0,0
"Bracknell Forest",43,124433518.71109,754645811,2701,14272014,0
"Bradford",72,32153695.03,73135451,335,0,8000000
"Braintree",31,16641615.63077,67879241,190,209181,1399999.976
"Breckland",32,32854595.559669998,30351592,312,7877828,23550000.189000003
"Brent",61,14415021.5296,36127819,247,0,7000000
"Brentwood",29,10546994.78017,24680235,174,1500000,4070000.1720000003
"Bridgend",60,55800402.22148,195760561,906,464952,0
"Brighton and Hove",89,44685813.61623,91876491,681,157215,0
"Bristol, City of",271,4147866138.93302,45226534356,32892,8417704,493669999.223
"Broadland",36,25900613.19683,43060445,234,60060,0
"Bromley",57,15298982.5584,54180313,216,0,5000000
"Bromsgrove",28,15686572.52911,61403013,251,0,0
"Broxbourne",37,854452078.0495,3322385366,8513,0,0
"Broxtowe",62,30098561.95666,1059267509,352,852926,328399993.90000004
"Buckinghamshire",311,2952470527.84335,6674785674,27218,8847558,2216829987.762
"Burnley",15,5058088.77956,7930244,77,0,0
"Bury",38,10643023.993209999,17947755,174,12815,0
"Caerphilly",30,14956356.93748,58776119,267,28559,0
"Calderdale",58,65398894.31566,255524189,846,125222,0
"Cambridge",74,31161771.44772,62240336,491,13468345,48449999.493
"Camden",534,1469957685.68454,22211388965,31368,13791677,189240001.271
"Cannock Chase",26,6404362.42164,24963540,117,0,0
"Canterbury",37,17332458.47364,46647036,274,0,53000000
"Cardiff",180,189744093.93706,1536812492,2986,4308365,53999999.052999996
"Carmarthenshire",44,21660825.81069,41986675,317,0,0
"Castle Point",22,6356688.458260001,8391846,70,0,0
"Causeway Coast and Glens",24,70980599.08262,145672586,645,0,10000000
"Central Bedfordshire",70,49389459.23046,197325946,798,8164887,19680000.31
"Ceredigion",18,7899097.59937,18495006,130,0,0
"Charnwood",36,6041849.3481,9061187,102,5837807,3230000.0190000003
"Chelmsford",59,103509830.73448,690537515,1263,5000,1419999.957
"Cheltenham",89,105007496.51806,132052221,2172,1028735,2965569892.948
"Cherwell",58,93026394.70836,246387531,872,6875115,141769995.449
"Cheshire East",182,144813052.82599,509503590,2551,4338910,41209999.265999995
"Cheshire West and Chester",109,564659110.30618,2734069727,13852,5598904,140000.00100000002
"Chesterfield",22,8293660.71275,15634108,139,157901,0
"Chichester",37,7939603.89505,10862332,110,130873,0
"Chorley",38,21694431.60309,40789389,363,5000,0
"City of Edinburgh",389,255087039.58344,10990459243,3511,11331194,136579998.523
"City of London",995,1640234015.00095,17158209442,19867,22417994,1057129980.1029999
"Clackmannanshire",19,5886768.703550001,22938441,60,0,0
"Colchester",62,63609080.11755,95947752,904,672820,3200000.048
"Conwy",15,6459525.58279,11729367,98,49770,0
"Cornwall",181,119428918.66546,180580224,1678,2005434,71369996.664
"Cotswold",38,36468457.61706,100188785,662,137495,0
"County Durham",153,114553474.76284,536225644,1769,624454,3160000.086
"Coventry",64,222303133.71552998,1208103918,3614,279118,0
"Crawley",24,9559082.98091,13416863,125,3766253,219689998.63
"Croydon",79,355818063.91555,1001801831,7904,1348798,2720000.029
"Cumberland",62,41775820.29683,135024776,774,430700,0
"Dacorum",59,21060286.83915,146334854,340,0,0
"Darlington",12,18780519.103579998,227882391,337,0,0
"Dartford",35,27207403.21894,63500226,324,0,0
"Denbighshire",28,4618156.47106,9623612,72,0,0
"Derby",36,18264533.94577,68217029,266,0,7430000.007
"Derbyshire Dales",28,16475782.393369999,33067376,209,256959,140000.00100000002
"Derry City and Strabane",27,11833900.33852,57774227,104,0,0
"Doncaster",135,347963024.72975,2050961774,6416,470581,30000000
"Dorset",141,56743275.54196,104729951,676,10287,0
"Dover",26,14194972.1349,17894401,169,0,0
"Dudley",50,14880380.05304,42735886,238,1632042,3109999.895
"Dumfries and Galloway",30,36902797.68553,95937130,579,2757171,1940000.057
"Dundee City",20,5547047.42859,6203756,81,81720,0
"Ealing",49,24861801.61919,38707846,471,322394,3090000.0110000004
"East Ayrshire",32,15595224.09576,23461238,281,0,0
"East Cambridgeshire",16,5919420.9309600005,12176306,87,5000,0
"East Devon",58,78812295.09536,259668594,779,690858,280000.001
"East Dunbartonshire",10,1951905.28173,1359564,25,1930824,1870000.0050000001
"East Hampshire",26,1971093.01499,2631304,28,47521,0
"East Hertfordshire",69,26058794.42979,102484028,370,289233,0
"East Lindsey",25,9587977.14008,34372645,180,0,0
"East Lothian",16,11504992.4427,26220785,147,2782935,28190000.529999997
"East Renfrewshire",13,7739990.337859999,28446614,190,250401,0
"East Riding of Yorkshire",146,886512759.06173,7507222630,14566,2633235,25589999.609
"East Staffordshire",20,30846577.906799998,239066114,661,599967,0
"East Suffolk",40,11921391.76857,21174823,169,345452,1320000.052
"Eastbourne",24,4015224.70867,20375113,76,98004,270000.011
"Eastleigh",29,37553869.600260004,148279607,527,445622,0
"Elmbridge",46,171862131.00805,826463155,1629,365157,4400000.095000001
"Enfield",92,75839047.47706,243978928,933,0,9980000.376
"Epping Forest",40,15950612.67363,32451065,235,0,0
"Epsom and Ewell",22,320260199.28946996,1247069595,7914,8719290,0
"Erewash",32,37427101.55852,476375967,800,22223,0
"Exeter",79,94930643.16021,292076982,1406,12267240,18319999.814
"Falkirk",22,3810838.5452199997,445897802,50,0,0
"Fareham",46,100196286.51957999,325127509,1023,6429854,5510000.229
"Fenland",42,14645867.97149,67349041,259,287463,289999.99199999997
"Fermanagh and Omagh",23,10261582.755,18619087,143,0,0
"Fife",47,14013664.160529999,90229438,423,106302,0
"Flintshire",35,13840176.83055,25943859,167,863635,4110000.134
"Folkestone and Hythe",7,4381433.88743,5856228,56,0,0
"Forest of Dean",25,6940623.28319,11770129,133,0,8689999.58
"Fylde",69,55276978.94242,153688040,1256,0,0
"Gateshead",77,194603859.5717,429774106,2661,14263136,397729986.521
"Gedling",25,21290831.71875,61164384,375,56907,0
"Glasgow City",243,297644519.95193,1113674662,4925,21215662,173779998.407
"Gloucester",18,8672262.07653,15001217,119,0,0
"Gosport",6,434448.13727,477611,9,192678,0
"Gravesham",19,1159461.58622,2187637,14,0,0
"Great Yarmouth",40,532580825.48551005,1315097251,3070,10000,0
"Greenwich",43,12157917.19788,732701129,126,440343,0
"Guildford",71,91119184.61551,174806888,963,208230,27210000.516999997
"Gwynedd",18,50570900.76338,793158476,458,119904,50000.001000000004
"Hackney",236,62830186.13548,316588763,973,10054676,211359995.009
"Halton",27,42877837.14152,104438344,475,497339,259999.99000000002
"Hammersmith and Fulham",119,73756452.18281999,4554765284,867,4153905,43450000.714
"Harborough",43,14889989.19457,29557528,217,408313,0
