"ITL221NM","No_sites","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Cheshire",790,1097281048.986328,12252722834.24523,25653.852805427345,7404530.800270815,44538665.858341664
"Cumbria",484,243453818.7534771,814347811.752016,2982.699364090805,1217051.187543705,729999.9993333333
"East Yorkshire and Northern Lincolnshire",548,1092657386.5532613,6041477802.729823,15298.152725489235,41150402.33879945,62447999.7675
"Greater Manchester",1603,2262205094.5703897,8746081865.863647,20469.830021848553,6613817.617143607,319895000.31766665
"Lancashire",815,714471051.0158637,2371473577.674396,7277.307136283864,9725386.69476092,40809999.802999996
"Merseyside",825,904195668.743418,3218166377.553474,9849.539266915746,5127142.617106833,12426999.693675
"North Yorkshire",756,758651011.2194732,13420417965.23417,5513.791050980481,46335422.60234323,32353333.537666667
"Northumberland, and Tyne and Wear",1284,1861807127.8249996,8870414486.365091,17420.722726460546,114808589.85225618,452449152.67475
"South Yorkshire",696,652057681.9210821,2776593049.1227636,8219.52659365609,14117133.901759613,673996657.5066667
"Tees Valley and Durham",791,845344930.8097231,4788023204.537332,6943.565833453515,5604436.66108366,61495000.126
"West Yorkshire",1225,1051073543.2535951,14113438648.547466,19192.03016918265,3907592.519620126,513821667.37883335
