"LAD23NM","No_sites","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Barnsley",171,111435812.6922781,624354117.3585634,1284.2875782112624,0,0
"Blackburn with Darwen",61,20757711.604653936,281190710.60372394,492.8511194866963,645252.5020624304,479999.99874999997
"Blackpool",35,45224440.96838304,194586475.3601794,458.4152609226912,9771.584583188001,10399999.62
"Bolton",98,34525255.82146327,98625460.59205425,571.6367904959731,409.94436740354024,0
"Bradford",173,102413056.67720209,564975939.183926,1582.6071517493203,321063.44260602497,8000000
"Burnley",33,9472605.808015833,54269803.78333333,166.45833333333334,0,10000
"Bury",74,20525701.845412552,130659834.90392695,332.8047726783021,70864.14705882352,0
"Calderdale",100,59913438.39420585,236454247.00788522,878.6889119903909,129201.07363201292,0
"Cheshire East",295,156552797.14359498,785905820.6513028,2977.2893871828655,2757713.581357612,39599999.25208333
"Cheshire West and Chester",294,622111122.3999721,3461216145.37591,14576.313908570117,4403994.557298375,3471999.99255
"Chorley",83,19778237.217042077,46811329.924915224,318.3140108919006,5169.168447671099,0
"County Durham",405,167538797.68187332,686448297.9475753,1997.3626858648597,2407114.804061156,15594999.609499998
"Cumberland",130,84369920.59522587,456080398.35099804,1564.1634693898145,532628.6127620523,0
"Darlington",77,112444698.63246633,354616234.99760765,756.6045362532204,63391.03076923077,3349999.9045
"Doncaster",231,194727433.817588,922262295.5029643,2585.445799401191,562468.0681349178,30000000
"East Riding of Yorkshire",221,788058388.258471,3849639976.6213455,11553.041239399497,1726849.0323393736,15709999.8515
"Fylde",106,50020902.29993962,139434063.74503547,1052.1375886524822,38472.40425531915,0
"Gateshead",271,336937987.13815576,693673220.331582,3321.0633556802313,14067775.108388279,397729986.52099997
"Halton",63,115744585.2669329,380854285.99017483,1314.6200696942287,754651.2319387476,259999.99000000002
"Hartlepool",58,153829515.17701358,466582343.6857864,928.6786796536798,61463.333333333336,3000000
"Hyndburn",21,20421381.990021165,64537008.552268945,200.71513423616062,2740.310762651461,0
"Kingston upon Hull, City of",93,102583478.33064657,944570452.3832883,1347.5940569664253,471184.3333333333,15000000
"Kirklees",148,51998899.24196709,96712546.42994711,692.9059199064438,4491.355367031931,0
"Knowsley",86,406675716.10159385,1502384703.4275322,4010.2698498294917,99952.05532786885,0
"Lancaster",105,159682371.340802,387639350.90114164,922.3110780015814,7027851.720364177,25350000.232249998
"Leeds",685,705723498.7633176,12565462889.588758,13547.87392219349,3404349.8702681656,505821667.37883335
"Liverpool",357,163631945.60438478,582373039.1214316,2123.5925958289354,460684.91740376566,5076999.943925
"Manchester",385,690080887.1009763,3750944969.6795154,5446.03747030746,3970671.364110741,120910000.175
"Middlesbrough",43,95193233.13919234,1166879522.501415,720.0560125546967,465174.0909090909,1500000
"Newcastle upon Tyne",328,594683171.8000832,2222609542.205565,4645.2129069434195,6020488.580396644,4259166.83675
"North East Lincolnshire",163,126643651.66833195,379370506.164093,1459.3481625050174,38851252.407642275,30000000
"North Lincolnshire",71,75371868.29581173,867896867.5610961,938.1692666182954,101116.56548446644,1737999.916
"North Tyneside",262,373141466.07018936,1434585561.1847408,3384.698340930511,2688760.9688113127,7494999.885999999
"North Yorkshire",624,692343582.373179,12872965458.161608,4639.411869077011,23860358.099272884,32078333.531666666
"Northumberland",201,129002671.36737673,1679393891.0739384,1419.332192497658,39703479.40359229,730000.019
