"LAD23NM","No_Companies","GVAPerJob"
"Barnsley",118,64705.67083287527
"Blackburn with Darwen",34,74912.30244899876
"Blackpool",29,81052.89006902752
"Bolton",71,51468.787959683454
"Bradford",114,80751.38347556248
"Burnley",18,51531.257369635925
"Bury",45,66105.15154656912
"Calderdale",76,57505.75782401074
"Cheshire East",191,67477.67539578765
"Cheshire West and Chester",170,73444.14287872972
"Chorley",46,55087.90865477649
"County Durham",199,115344.12556936279
"Cumberland",80,70150.47716066563
"Darlington",37,103171.34707101085
"Doncaster",136,57325.89714371516
"East Riding of Yorkshire",120,68892.4933463826
"Fylde",62,50057.240752928636
"Gateshead",148,110073.09544148085
"Halton",39,95593.85314069258
"Hartlepool",42,178001.2438410605
"Hyndburn",15,134777.4885861292
"Kingston upon Hull, City of",65,63151.77053207857
"Kirklees",107,102603.63082971828
"Knowsley",55,62084.07175521192
"Lancaster",57,186526.61656908272
"Leeds",362,52319.15265711559
"Liverpool",146,74783.33902272162
"Manchester",234,106158.06409421384
"Middlesbrough",28,91804.54439393946
"Newcastle upon Tyne",160,92452.37020616069
"North East Lincolnshire",77,63319.04866462238
"North Lincolnshire",47,66492.99692896269
"North Tyneside",150,99179.66674435892
"North Yorkshire",334,131494.65231241388
"Northumberland",144,112021.94899612205
"Oldham",45,81038.96642624895
"Pendle",28,123271.94757817575
"Preston",65,119546.20492674579
"Redcar and Cleveland",55,79902.05352854489
"Ribble Valley",18,134669.18090155988
"Rochdale",42,93172.53871296594
"Rossendale",10,77149.21107295455
"Rotherham",63,121849.91584385869
"Salford",96,70990.9825381743
"Sefton",49,83635.25482944073
"Sheffield",145,91318.32472730793
"South Ribble",47,98000.20108749402
"South Tyneside",34,77726.57704282722
"St. Helens",51,122634.96299483231
"Stockport",80,48458.61793469707
"Stockton-on-Tees",67,96248.41583007564
"Sunderland",98,102400.42793994377
"Tameside",56,111565.4358036209
"Trafford",160,91869.27211409395
"Wakefield",77,54015.81442214014
"Warrington",118,46326.249104192735
"West Lancashire",44,53072.18192398858
"Westmorland and Furness",118,119413.61405876893
"Wigan",89,92089.77343253019
"Wirral",116,95313.06568291984
"Wyre",43,60949.82067873508
"York",75,125394.43683218533
