"ITL221NM","No_Companies","GVAPerJob"
"Cheshire",246,51453.43951482599
"Cumbria",318,67119.33274783284
"East Yorkshire and Northern Lincolnshire",159,67772.7972232731
"Greater Manchester",429,122392.0385941604
"Lancashire",266,86571.23614948154
"Merseyside",183,135789.6114856061
"North Yorkshire",1164,166382.38144729089
"Northumberland, and Tyne and Wear",231,112578.05298382197
"South Yorkshire",223,61419.42604592952
"Tees Valley and Durham",148,115213.15453528868
"West Yorkshire",314,64618.74248867375
