"LAD21NM","RGN21NM","No_Companies","Employees","Turnover"
"Hartlepool","North East",33,838.7142857142858,433386428.253663
"Middlesbrough","North East",40,774.517158426369,737461483.9728891
"Redcar and Cleveland","North East",91,723.3335834481676,638877099.2909714
"Stockton-on-Tees","North East",72,1501.1273982892185,1132287252.0391057
"Darlington","North East",58,756.7255639097745,353632573.7431078
"Halton","North West",54,1035.3902458250755,388393334.8151467
"Warrington","North West",188,4144.219999162435,2465957259.453817
"Blackburn with Darwen","North West",50,483.5313583683203,255776231.11520603
"Blackpool","North West",35,404.3456542710742,136332051.30294788
"Kingston upon Hull, City of","Yorkshire and The Humber",83,1253.2295011722856,845814345.1594329
"East Riding of Yorkshire","Yorkshire and The Humber",194,4560.9595789010045,3025622047.8712378
"North East Lincolnshire","Yorkshire and The Humber",161,1481.1136636120045,425461141.6079161
"North Lincolnshire","Yorkshire and The Humber",58,1241.5585192050262,682127397.3025442
"York","Yorkshire and The Humber",106,920.7871008644665,576064810.7224765
"Derby","East Midlands",70,2981.7806466939014,1078326518.871882
"Leicester","East Midlands",153,1101.9183875430442,374110442.6584858
"Rutland","East Midlands",90,695.7241791922332,282097305.9565016
"Nottingham","East Midlands",117,3158.352752901448,744579134.5086001
"Herefordshire, County of","West Midlands",85,885.2823436440241,212313120.58808216
"Telford and Wrekin","West Midlands",138,2574.685197054945,815010155.4611707
"Stoke-on-Trent","West Midlands",83,787.7391805357726,126488603.6042818
"Bath and North East Somerset","South West",78,4599.7777847309135,788418716.903108
"Bristol, City of","South West",539,29960.23864645846,26004510573.71009
"North Somerset","South West",133,2801.34314228383,904531158.5545286
"South Gloucestershire","South West",319,3052.5243860583355,2799121015.2026467
"Plymouth","South West",104,937.9433360670977,1279153051.9644296
"Torbay","South West",31,68.09019607843138,13556390.384313727
"Swindon","South West",99,1516.3368720632652,762039036.0263612
"Peterborough","East of England",141,2198.698837998349,853352470.1686769
"Luton","East of England",39,281.7768695933382,98535556.55723988
"Southend-on-Sea","East of England",55,180.9890143877305,49585540.305502154
"Thurrock","East of England",141,1142.7577017551625,331269860.1715419
"Medway","South East",158,1694.3726994863894,963425659.9063271
"Bracknell Forest","South East",68,1537.1170005510712,1005973740.2135012
"West Berkshire","South East",143,1143.998029025521,413680365.97183967
"Reading","South East",131,10282.297596335831,7475190984.074854
"Slough","South East",45,380.59964932728093,113139865.49472457
"Windsor and Maidenhead","South East",314,3214.6490317997514,1126218416.1114156
"Wokingham","South East",113,29376.5192710224,4671615642.325835
"Milton Keynes","South East",176,1407.914516111962,603199643.1231978
"Brighton and Hove","South East",111,1295.9309336427539,242666915.27157927
"Portsmouth","South East",105,1089.1013382664494,351716973.49852586
"Southampton","South East",81,791.1799658497027,438749417.9004216
"Isle of Wight","South East",36,1704.8686122025372,635785444.453432
"County Durham","North East",253,1756.960364703259,512731968.23808324
"Cheshire East","North West",223,2628.559466346204,715365919.5722296
"Cheshire West and Chester","North West",260,13997.294798203848,2556311287.207821
"Shropshire","West Midlands",148,1084.8908352131414,170714642.99866968
"Cornwall","South West",370,2581.3646609896196,1905498342.059108
"Isles of Scilly","South West",1,1,350
"Wiltshire","South West",250,2996.9420811911573,917312115.5369555
"Bedford","East of England",89,847.8045910920199,285851469.16792476
"Central Bedfordshire","East of England",122,1360.5497233846304,446177035.99630016
"Northumberland","North East",106,990.2847502877395,1067007589.7905767
"Bournemouth, Christchurch and Poole","South West",151,1676.0099809106525,691166815.2395295
"Dorset","South West",216,1846.4843468047552,990346874.043683
"Buckinghamshire","South East",363,5196.3234095698335,973055481.6267519
"North Northamptonshire","East Midlands",135,2130.3247462952395,473205331.0719854
"West Northamptonshire","East Midlands",228,3040.130831604808,1227954413.8735006
"Cambridge","East of England",201,2444.3049409850423,499973376.95852053
"East Cambridgeshire","East of England",85,341.81104744928274,145928012.1809303
"Fenland","East of England",91,401.79157058887665,97124402.1220872
"Huntingdonshire","East of England",114,1390.9701495847605,348583972.7982837
"South Cambridgeshire","East of England",177,1367.313206646295,374912212.0222468
"Allerdale","North West",40,479.1008172143446,131305867.57610336
"Barrow-in-Furness","North West",47,634.70315641805,132940518.39809835
"Carlisle","North West",47,683.571937353454,168103713.76705548
"Copeland","North West",17,438.7264116172785,69872110.65649419
"Eden","North West",192,217.31834521687463,49857519.51401515
"South Lakeland","North West",79,484.52705505279033,137654179.17236316
"Amber Valley","East Midlands",32,127.94402277039848,29059209.98640101
"Bolsover","East Midlands",10,90.87115384615385,14279212.797435896
"Chesterfield","East Midlands",56,291.7735011404366,187891376.59491897
"Derbyshire Dales","East Midlands",34,200.5644385026738,32173298.222192515
"Erewash","East Midlands",43,290.0095238095238,202992023.9857143
"High Peak","East Midlands",41,203.41666666666666,23966875.333333332
"North East Derbyshire","East Midlands",51,1284.4030650107206,296497759.5127986
"South Derbyshire","East Midlands",28,287.01243459260536,197782045.68041763
"East Devon","South West",183,1262.0871918710154,316369344.4019636
"Exeter","South West",147,2025.6005871493487,1322907965.526073
"Mid Devon","South West",51,255.8926093514329,52075637.98863751
"North Devon","South West",59,833.2889140271493,132932957.1689291
"South Hams","South West",54,573.067538527169,138822182.32145482
"Teignbridge","South West",71,759.3499155458065,146740756.48331502
"Torridge","South West",206,409.3421547406842,97618616.72830087
"West Devon","South West",28,260.1871075003428,40102891.51962841
"Eastbourne","South East",33,235.61553351463766,42010783.15237828
"Hastings","South East",61,724.9873629314988,171263348.48893815
"Lewes","South East",48,294.9309012066365,250755185.17053166
"Rother","South East",21,69.37456140350878,22752169.038596492
"Wealden","South East",110,898.2811682412333,214464935.56902665
"Basildon","East of England",81,363.95080621908755,56137056.12016213
"Braintree","East of England",54,431.3421011986178,80044053.91393861
"Brentwood","East of England",44,201.3287878787879,52187967.77272727
"Castle Point","East of England",30,79.91666666666667,9237982.642857144
"Chelmsford","East of England",82,1539.8243507217965,2221666092.3466554
"Colchester","East of England",105,1089.987474798499,1068583125.297437
"Epping Forest","East of England",45,242.31285746968658,34865067.36879433
"Harlow","East of England",44,588.3083049634065,80357323.22668917
"Maldon","East of England",24,350.2452830188679,48521157.66352201
"Rochford","East of England",68,321.4104795926322,101784850.50747088
"Tendring","East of England",30,686.0652568378061,474343737.218268
"Uttlesford","East of England",53,366.94871794871796,119764815.55128205
"Cheltenham","South West",96,2071.0848076072534,128364732.96789768
"Cotswold","South West",107,220.9067008687533,492314806.76949215
"Forest of Dean","South West",88,654.0588891846832,178568763.85079703
"Gloucester","South West",55,1070.1838542837938,1460840658.352545
"Stroud","South West",202,1062.8666666666666,540193637.4166666
"Tewkesbury","South West",107,1644.9356013843026,526405227.53044957
"Basingstoke and Deane","South East",91,1231.4560717474335,613148271.1901448
"East Hampshire","South East",55,793.2036867745778,111347514.84617437
"Eastleigh","South East",67,2110.6574871637768,488967580.63239473
"Fareham","South East",59,437.98055555555555,97010941.6111111
"Gosport","South East",32,827.2670256893318,381818700.3129554
"Hart","South East",27,231.12857142857143,38148286.266666666
"Havant","South East",50,635.2329499084818,791778420.3558382
"New Forest","South East",93,1042.0553346221084,417512517.8997783
"Rushmoor","South East",45,1073.1967158043715,698887645.1834335
"Test Valley","South East",113,1177.0243024596891,176296162.9582156
