"LAD21NM","RGN21NM","No_Companies","GVA","Turnover","Employees","GVA_job"
"Hartlepool","North East",42,156631531.18077162,440128722.8268337,874.8484320557492,179038.47734254197
"Middlesbrough","North East",42,102430426.01586644,739089352.7506669,779.9616028708134,131327.5238663668
"Redcar and Cleveland","North East",100,71629663.64566755,641367258.8641421,731.467729789631,97925.93812206607
"Stockton-on-Tees","North East",82,194147486.45874086,1135226531.1122763,1520.761544630682,127664.64745522593
"Darlington","North East",67,112676460.03552434,356027004.8162785,766.3597102512379,147028.1625303414
"Halton","North West",63,98489999.7757896,417995724.93279374,1219.1549517074284,80785.46507796586
"Warrington","North West",202,313760042.6801257,7276612379.28715,8079.053332495768,38836.23857489743
"Blackburn with Darwen","North West",56,20839927.709985957,256695038.11520603,497.0313583683203,41928.79857399808
"Blackpool","North West",39,38065993.00833419,137067864.80294788,411.67898760440755,92465.23178130417
"Kingston upon Hull, City of","Yorkshire and The Humber",93,95384115.1688009,848496397.1594329,1279.2295011722856,74563.72377387398
"East Riding of Yorkshire","Yorkshire and The Humber",215,769979054.7758399,3503049644.482349,11363.737356678783,67757.55463261406
"North East Lincolnshire","Yorkshire and The Humber",168,132969809.03781919,439903131.6079161,1546.6136636120045,85974.80558090881
"North Lincolnshire","Yorkshire and The Humber",67,97329812.97633292,690118973.8025442,1276.5585192050262,76243.91010052938
"York","Yorkshire and The Humber",126,69350471.74238583,581514071.6289806,961.2545805392633,72145.79066398858
"County Durham","North East",275,155802037.68151578,519757604.31125396,1811.0945110447224,86026.45346853932
"Cheshire East","North West",271,166287664.61318672,857668488.1972296,3237.642799679537,51360.71978960926
"Cheshire West and Chester","North West",275,584496530.0830687,2559088042.2809916,14011.762277878644,41714.70500936592
"Northumberland","North East",136,116107837.6889882,1376867532.3637474,1271.418896629203,91321.4661169614
"Allerdale","North West",44,30671418.23805372,131973689.07610336,490.6008172143446,62518.07408762083
"Barrow-in-Furness","North West",52,98157997.42650576,137306033.39809835,663.20315641805,148005.92620314957
"Carlisle","North West",61,40191862.59183471,173341904.3402262,718.2060836949174,55961.462182360985
"Copeland","North West",20,20065454.274326604,70084663.65649419,445.2264116172785,45067.97833812045
"Eden","North West",195,17875260.90791399,50340928.51401515,222.31834521687463,80403.89510130811
"South Lakeland","North West",96,40403699.921178035,144480109.7455339,546.6612013942538,73909.9460838428
"Burnley","North West",35,10198967.59079841,53076275.53359062,179.6780303030303,56762.46324382376
"Chorley","North West",75,20547620.23056413,47511559.802961744,331.7118910501263,61944.177417079976
"Fylde","North West",87,49008832.423597045,112412713.10667312,1020.2387250161187,48036.6322331303
"Hyndburn","North West",23,23925520.429507613,66459281.375972115,232.68498256905337,102823.6552498926
"Lancaster","North West",87,160068951.07038274,385474362.91183823,931.3623807736811,171865.3816975233
"Pendle","North West",33,59449621.9901778,98471130.9898374,493.8841463414634,120371.59408853612
"Preston","North West",79,157586096.61257643,378831305.386938,1392.0089458735506,113207.67519470486
"Ribble Valley","North West",22,17481407.279933486,38026868.45454545,188.37878787878788,92799.23433407948
"Rossendale","North West",14,6350557.96751,9122596.5,83,76512.74659650603
"South Ribble","North West",57,25179431.523537584,48560175.68650961,292.9300987274048,85957.13323050864
"West Lancashire","North West",60,28137187.623385087,104338169.72810169,489.3274154923091,57501.760033364255
"Wyre","North West",52,101957224.52817643,378894945.7262788,712.9452644057104,143008.48833488623
"Craven","Yorkshire and The Humber",24,4791364.414781666,60783292.78431372,96.74019607843137,49528.16521993717
"Hambleton","Yorkshire and The Humber",79,43481381.48610995,129045984.42634533,494.79684475416184,87877.24082540083
"Harrogate","Yorkshire and The Humber",282,61714665.60678078,168234467.15613872,596.376391024114,103482.74434674159
"Richmondshire","Yorkshire and The Humber",22,10005287.716187805,92251403.80192891,180.31878686433924,55486.66276085346
"Ryedale","Yorkshire and The Humber",44,13425774.657057805,45577823.07317073,273.1341463414634,49154.508276945126
