"RGN21NM","No_sites","GVA","Turnover","Employees","GVA_job","InnovateFunding","DealroomFunding"
"East Midlands",3212,2987913611.4062386,12262094839.947498,31840.944158194452,93838.72527653303,36880876.22541524,468734158.726
"East of England",4796,4602803423.460529,17861692102.787563,41949.858870932156,109721.54727914707,133544925.69599578,808503336.0384166
"London",9529,9698000354.624456,131983400559.82187,149610.39085325753,64821.70322071114,142706871.1561359,7469975019.298092
"North East",2075,2707152058.6347227,13658437690.902422,24364.28855991406,111111.47579694695,120413026.51333985,513944152.80074996
"North West",4033,4978152863.315999,26588444655.336746,63250.529230475506,78705.31557414091,28870877.729282174,417670665.6726833
"Northern Ireland",1261,1263729878.6270888,6430264023.858879,12596.158710788974,100326.60810669746,12890311.180769231,761764975.5326667
"Scotland",5072,4399968424.73248,53666099344.066734,78718.23523748427,55895.16090469074,251280941.6441734,1637610325.4222167
"South East",6850,9470227702.555973,42846388485.45254,101374.99674153511,93417.78551866385,135470159.13821277,5129074982.641375
"South West",4748,6930277789.034756,63746102807.269554,68969.36488561414,100483.42188634966,97122672.66710378,3632896389.427583
"Wales",1987,1430324033.668422,7564843635.62755,20327.432702447477,70364.22427787485,88155488.67090094,144514165.92949998
"West Midlands",3270,2521136378.226411,17126582403.394066,33235.51203596334,75856.70338096042,253478073.33927894,191058668.11805
"Yorkshire and The Humber",2601,2862096040.574233,23478962007.47262,43584.088670231446,65668.369533423,81650193.26324953,1250541324.6590002
