"LAD21NM","RGN21NM","No_Companies","Employees","Turnover"
"Hartlepool","North East",33,838.7142857142858,433386428.253663
"Middlesbrough","North East",40,774.517158426369,737461483.9728891
"Redcar and Cleveland","North East",91,723.3335834481676,638877099.2909714
"Stockton-on-Tees","North East",72,1501.1273982892185,1132287252.0391057
"Darlington","North East",58,756.7255639097745,353632573.7431078
"Halton","North West",54,1035.3902458250755,388393334.8151467
"Warrington","North West",188,4144.219999162435,2465957259.453817
"Blackburn with Darwen","North West",50,483.5313583683203,255776231.11520603
"Blackpool","North West",35,404.3456542710742,136332051.30294788
"Kingston upon Hull, City of","Yorkshire and The Humber",83,1253.2295011722856,845814345.1594329
"East Riding of Yorkshire","Yorkshire and The Humber",194,4560.9595789010045,3025622047.8712378
"North East Lincolnshire","Yorkshire and The Humber",161,1481.1136636120045,425461141.6079161
"North Lincolnshire","Yorkshire and The Humber",58,1241.5585192050262,682127397.3025442
"York","Yorkshire and The Humber",106,920.7871008644665,576064810.7224765
"County Durham","North East",253,1756.960364703259,512731968.23808324
"Cheshire East","North West",223,2628.559466346204,715365919.5722296
"Cheshire West and Chester","North West",260,13997.294798203848,2556311287.207821
"Northumberland","North East",106,990.2847502877395,1067007589.7905767
"Allerdale","North West",40,479.1008172143446,131305867.57610336
"Barrow-in-Furness","North West",47,634.70315641805,132940518.39809835
"Carlisle","North West",47,683.571937353454,168103713.76705548
"Copeland","North West",17,438.7264116172785,69872110.65649419
"Eden","North West",192,217.31834521687463,49857519.51401515
"South Lakeland","North West",79,484.52705505279033,137654179.17236316
"Burnley","North West",31,157.6780303030303,30198377.533590622
"Chorley","North West",71,325.7118910501263,47170503.802961744
"Fylde","North West",80,896.7387250161187,101347730.10667312
"Hyndburn","North West",19,200.68498256905337,63030752.375972115
"Lancaster","North West",80,902.3623807736811,381108067.91183823
"Pendle","North West",21,416.25,88767491.91666667
"Preston","North West",69,1367.0089458735506,374939291.05360466
"Ribble Valley","North West",19,184.87878787878788,37568188.45454545
"Rossendale","North West",10,22,2413066.5
"South Ribble","North West",54,287.9300987274048,47967602.68650961
"West Lancashire","North West",53,460.99408215897574,101087611.39476836
"Wyre","North West",37,564.811118064247,302888571.65310806
"Craven","Yorkshire and The Humber",19,91.24019607843137,60648944.78431372
"Hambleton","Yorkshire and The Humber",66,461.66269841269843,105486895.85317461
"Harrogate","Yorkshire and The Humber",267,580.0430576907806,167486266.61447203
"Richmondshire","Yorkshire and The Humber",14,136.6846405228758,85485356.72875817
"Ryedale","Yorkshire and The Humber",32,257.5,41406852
"Scarborough","Yorkshire and The Humber",18,198.54575163398692,50003840.42320262
"Selby","Yorkshire and The Humber",84,2831.573168661404,9903531282.444126
"Bolton","North West",78,480.961589159035,77779897.99091555
"Bury","North West",74,422.7354997943233,122579934.27126305
"Manchester","North West",340,6578.351441998543,5032189380.875407
"Oldham","North West",59,840.8794671345687,270096024.01496756
"Rochdale","North West",43,309.7835497835498,166511952.05200356
"Salford","North West",120,1581.5790193330865,551322517.8992088
"Stockport","North West",107,642.7965996081758,371952316.52934605
"Tameside","North West",79,369.2306628580286,147887839.38242215
"Trafford","North West",353,1721.1921496585178,692166580.2290403
"Wigan","North West",131,8105.841829796534,1713727661.1401625
"Knowsley","North West",58,3842.782317536265,1392479665.2849452
"Liverpool","North West",329,2115.817466131782,556791771.1182113
"St. Helens","North West",64,415.58642146122116,161554218.37879845
"Sefton","North West",45,648.487214779081,163587182.42329454
"Wirral","North West",147,1167.4296070702062,319574151.893726
"Barnsley","Yorkshire and The Humber",163,1278.9522109186796,599339310.8495309
"Doncaster","Yorkshire and The Humber",199,2377.749133098166,779282886.2506076
"Rotherham","Yorkshire and The Humber",60,616.4272016796635,284327030.7656832
"Sheffield","Yorkshire and The Humber",168,3375.495223999519,624213997.4136934
"Newcastle upon Tyne","North East",226,4295.550896876676,1660904350.7820222
"North Tyneside","North East",94,3210.486173392829,1348397625.8950384
"South Tyneside","North East",33,716.517834942835,242817229.6910867
"Sunderland","North East",161,4130.5864233891325,2297270930.5760093
"Bradford","Yorkshire and The Humber",120,1330.2752255226715,499012140.5967236
"Calderdale","Yorkshire and The Humber",74,846.4454711294824,137344088.0105049
"Kirklees","Yorkshire and The Humber",102,616.8981170737193,103392609.45756924
"Leeds","Yorkshire and The Humber",611,13819.23969238644,9180688348.014734
"Wakefield","Yorkshire and The Humber",97,2501.1730061063254,712190446.8259114
"Gateshead","North East",234,3214.4186927933497,603085194.4183058
